timestamp,sog [kn],lat [deg],lon[deg],STATE
2023-07-18T20:49:05,0.0,-7.19613166667,112.704763333,P4
2023-07-18T20:52:02,0.0,-7.19612,112.704768333,P4
2023-07-18T20:55:00,0.0,-7.19615,112.70478,P4
2023-07-18T20:58:05,0.0,-7.19615166667,112.704781667,P4
2023-07-18T21:01:03,0.0,-7.19615833333,112.704811667,P4
2023-07-18T21:04:04,0.0,-7.19614,112.704776667,P4
2023-07-18T21:07:06,0.0,-7.19613666667,112.704781667,P4
2023-07-18T21:10:04,0.0,-7.19616166667,112.704743333,P4
2023-07-18T21:13:07,0.0,-7.19613333333,112.704771667,P4
2023-07-18T21:16:04,0.0,-7.19612833333,112.70476,P4
2023-07-18T21:19:06,0.0,-7.19615666667,112.704758333,P4
2023-07-18T21:22:06,0.0,-7.19614333333,112.704753333,P4
2023-07-18T21:25:06,0.0,-7.19614,112.704753333,P4
2023-07-18T21:28:05,0.0,-7.196155,112.704738333,P4
2023-07-18T21:31:07,0.0,-7.196155,112.704746667,P4
2023-07-18T21:34:05,0.0,-7.19614833333,112.704766667,P4
2023-07-18T21:37:07,0.0,-7.19614666667,112.704756667,P4
2023-07-18T21:43:00,0.0,-7.19615,112.70472,P4
2023-07-18T21:46:04,0.0,-7.19615666667,112.704728333,P4
2023-07-18T21:49:01,0.0,-7.196125,112.704728333,P4
2023-07-18T21:52:01,0.0,-7.19613333333,112.70476,P4
2023-07-18T21:55:02,0.0,-7.19615,112.704721667,P4
2023-07-18T21:58:05,0.0,-7.19614666667,112.704736667,P4
2023-07-18T22:01:00,0.0,-7.196135,112.704758333,P4
2023-07-18T22:04:04,0.0,-7.19614333333,112.704736667,P4
2023-07-18T22:07:03,0.0,-7.19616833333,112.704708333,P4
2023-07-18T22:10:03,0.0,-7.19614833333,112.704711667,P4
2023-07-18T22:13:02,0.0,-7.19613666667,112.704761667,P4
2023-07-18T22:16:00,0.0,-7.19615166667,112.704678333,P4
2023-07-18T22:19:02,0.0,-7.196135,112.704755,P4
2023-07-18T22:22:05,0.0,-7.19616166667,112.704751667,P4
2023-07-18T22:25:03,0.0,-7.19614333333,112.704733333,P4
2023-07-18T22:28:05,0.0,-7.19616833333,112.704735,P4
2023-07-18T22:31:04,0.0,-7.19614666667,112.704731667,P4
2023-07-18T22:34:06,0.0,-7.19615833333,112.704681667,P4
2023-07-18T22:37:05,0.0,-7.19616166667,112.70478,P4
2023-07-18T22:40:01,0.0,-7.19617166667,112.704776667,P4
2023-07-18T22:43:04,0.0,-7.19616166667,112.704748333,P4
2023-07-18T22:49:03,0.0,-7.19617166667,112.704823333,P4
2023-07-18T22:55:03,0.0,-7.19614333333,112.704731667,P4
2023-07-18T22:58:02,0.0,-7.19617166667,112.70471,P4
2023-07-18T23:01:04,0.0,-7.19614,112.704726667,P4
2023-07-18T23:04:06,0.0,-7.19617166667,112.704771667,P4
2023-07-18T23:07:05,0.0,-7.19615666667,112.704731667,P4
2023-07-18T23:10:05,0.0,-7.196155,112.704761667,P4
2023-07-18T23:13:04,0.0,-7.19614333333,112.704711667,P4
2023-07-18T23:16:01,0.0,-7.19615666667,112.704748333,P4
2023-07-18T23:19:02,0.0,-7.19616,112.704743333,P4
2023-07-18T23:22:06,0.0,-7.19618333333,112.704723333,P4
